MONTH,WIND ENERGY,SOLAR ENERGY,DATETIME
01-2012,135.589,9.152,2012-01
02-2012,113.968,10.186,2012-02
03-2012,107.132,25.475,2012-03
04-2012,119.239,32.2,2012-04
05-2012,85.23,44.244,2012-05
06-2012,50.047,81.146,2012-06
07-2012,87.253,127.73,2012-07
08-2012,85.406,136.11,2012-08
09-2012,67.077,113.537,2012-09
10-2012,105.527,99.254,2012-10
11-2012,109.182,53.904,2012-11
12-2012,144.19,45.756,2012-12
01-2013,169.904,53.168,2013-01
02-2013,117.974,53.902,2013-02
03-2013,142.701,103.883,2013-03
04-2013,133.527,126.28,2013-04
05-2013,90.659,165.495,2013-05
06-2013,85.927,153.386,2013-06
07-2013,96.248,172.085,2013-07
08-2013,76.311,169.971,2013-08
09-2013,113.311,143.858,2013-09
10-2013,92.398,115.095,2013-10
11-2013,128.269,63.432,2013-11
12-2013,125.096,71.433,2013-12
01-2014,108.989,53.269,2014-01
02-2014,104.726,75.439,2014-02
03-2014,146.57,98.737,2014-03
04-2014,95.313,107.449,2014-04
05-2014,79.403,149.636,2014-05
06-2014,103.633,148.256,2014-06
07-2014,78.927,163.868,2014-07
08-2014,76.347,163.399,2014-08
09-2014,115.16,119.716,2014-09
10-2014,136.171,91.064,2014-10
11-2014,110.114,41.999,2014-11
12-2014,174.39,43.817,2014-12
01-2015,166.831,62.901,2015-01
02-2015,178.541,76.527,2015-02
03-2015,137.746,96.862,2015-03
04-2015,156.511,145.82,2015-04
05-2015,85.182,153.814,2015-05
06-2015,109.133,150.008,2015-06
07-2015,58.733,179.143,2015-07
08-2015,96.4,158.42,2015-08
09-2015,99.546,121.292,2015-09
10-2015,122.871,81.297,2015-10
11-2015,131.708,83.623,2015-11
12-2015,109.634,71.953,2015-12
01-2016,168.025,65.403,2016-01
02-2016,158.043,78.438,2016-02
03-2016,117.71,106.968,2016-03
04-2016,100.034,144.863,2016-04
05-2016,92.29,142.381,2016-05
06-2016,86.808,157.604,2016-06
07-2016,58.202,174.04,2016-07
08-2016,130.623,157.707,2016-08
09-2016,62.081,132.175,2016-09
10-2016,117.247,88.708,2016-10
11-2016,137.765,68.69,2016-11
12-2016,197.868,71.012,2016-12
01-2017,164.548,42.502,2017-01
02-2017,118.647,88.145,2017-02
03-2017,161.054,118.285,2017-03
04-2017,96.007,144.63,2017-04
05-2017,91.217,151.824,2017-05
06-2017,79.196,157.233,2017-06
07-2017,110.027,163.611,2017-07
08-2017,120.656,165.707,2017-08
09-2017,134.28,131.857,2017-09
10-2017,137.672,124.032,2017-10
11-2017,91.207,53.8,2017-11
12-2017,199.553,61.345,2017-12
01-2018,134.301,70.132,2018-01
02-2018,154.501,51.918,2018-02
03-2018,116.361,91.031,2018-03
04-2018,104.38,152.397,2018-04
05-2018,113.18,162.56,2018-05
06-2018,68.789,144.399,2018-06
07-2018,60.628,152.303,2018-07
08-2018,90.956,170.361,2018-08
09-2018,103.588,138.418,2018-09
10-2018,133.082,112.373,2018-10
11-2018,118.07,47.454,2018-11
12-2018,120.288,49.442,2018-12
01-2019,157.997,54.167,2019-01
02-2019,169.325,83.649,2019-02
03-2019,133.195,138.841,2019-03
04-2019,85.012,130.446,2019-04
05-2019,91.329,149.856,2019-05
06-2019,84.023,156.62,2019-06
07-2019,56.691,164.999,2019-07
08-2019,89.461,171.264,2019-08
09-2019,87.392,138.484,2019-09
10-2019,60.49,122.038,2019-10
11-2019,145.321,49.581,2019-11
12-2019,156.751,57.341,2019-12
01-2020,167.681,84.769,2020-01
02-2020,176.257,94.319,2020-02
03-2020,188.932,114.752,2020-03
04-2020,127.131,154.802,2020-04
05-2020,124.034,150.313,2020-05
06-2020,68.726,154.757,2020-06
07-2020,71.232,176.475,2020-07
08-2020,78.55,167.853,2020-08
09-2020,106.877,150.893,2020-09
10-2020,92.471,109.549,2020-10
11-2020,112.558,76.068,2020-11
12-2020,162.68,34.168,2020-12
01-2021,173.859,61.393,2021-01
02-2021,130.717,89.997,2021-02
03-2021,161.937,120.437,2021-03
04-2021,80.575,142.536,2021-04
05-2021,103.121,170.985,2021-05
06-2021,86.449,152.485,2021-06
07-2021,84.865,189.521,2021-07
08-2021,65.243,182.622,2021-08
09-2021,95.409,138.306,2021-09
10-2021,120.507,96.752,2021-10
11-2021,124.628,69.4,2021-11
12-2021,206.251,53.013,2021-12
01-2022,218.051,88.44,2022-01
02-2022,143.5,106.3,2022-02
03-2022,202.822,149.823,2022-03
04-2022,138.76,175.073,2022-04
05-2022,72.054,215.936,2022-05
06-2022,84.036,196.592,2022-06
07-2022,74.342,233.699,2022-07
08-2022,92.768,201.029,2022-08
09-2022,102.289,202.427,2022-09
10-2022,91.577,184.508,2022-10
11-2022,126.057,92.116,2022-11
12-2022,140.51,72.992,2022-12
01-2023,184.119,69.465,2023-01
02-2023,185.897,139.207,2023-02
03-2023,118.911,180.321,2023-03
04-2023,129.945,196.61,2023-04
05-2023,105.414,214.919,2023-05
